index,answer,question
0,12,"Quadrilateral A has side lengths 6, 9, 9, and 12. Quadrilateral B is a scaled copy of Quadrilateral A, with its shortest side of length 2. What is the perimeter of Quadrilateral B?"
1,30,A blueprint for a building includes a rectangular room that measures 3 inches long and 5.5 inches wide. The scale for the blueprint says that 1 inch on the blueprint is equivalent to 10 feet in the actual building. What are the dimensions of this rectangular room in the actual building? What is the length of the building. Do not include units (feet) in your answer.
2,2400,"A local park is in the shape of a square. A map of the local park is made with the scale 1 inch to 200 feet. If the park is shown as a square on the map, each side of which is one foot long, how long is each side of the square park? Do not include units (feet) in your answer."
3,"21,600",A map of a rectangular park has a length of 4 inches and a width of 6 inches. It uses a scale of 1 inch for every 30 miles. What is the actual area of the park? Do not include units (square miles) in your answer.
4,0.8,A store sells rope by the meter. The equation p=0.8L represents the price p (in dollars) of a piece of nylon rope that is L meters long. How much does the nylon rope cost per meter? Do not include units ($) in your answer.
5,20,"To transmit information on the internet, large files are broken into packets of smaller sizes. Each packet has 1,500 bytes of information. An equation relating packets to bytes of information is given by b = 1,500p where p represents the number of packets and b represents the number of bytes of information. How many packets would be needed to transmit 30,000 bytes of information?"
6,90,"Han wants to buy a $30 ticket to a game, but the pre-order tickets are sold out. He knows there will be more tickets sold the day of the game, with a markup of 200%. How much should Han expect to pay for the ticket if he buys it the day of the game? Do not include units ($) in your answer."
7,8,Noah was assigned to make 64 cookies for the bake sale. He made 125% of that number. 90% of the cookies he made were sold. How many of Noah's cookies were left after the bake sale? Do not include units (cookies) in your answer.
8,0.125,"In Canadian coins, 16 quarters is equal in value to 2 toonies. number of quarters number of toonies 1 A 16 2 20 B 24 C What is the value of A?"
9,0.45,At the supermarket you can fill your own honey bear container. A customer buys 12 oz of honey for $5.40. How much does honey cost per ounce? Do not include units ($) in your answer.
10,1.82,Lin's bike travels 100 meters when her wheels rotate 55 times. What is the circumference of her wheels? Round your answer to the nearest hundredth place. Do not include units (meters) in your answer.
11,75,Priya drew a circle whose circumference is 25 cm. Clare drew a circle whose diameter is 3 times the diameter of Priya's circle. What is the circumference of Clare's circle? Use 3.14 for pi. Round to the nearest whole number. Do not include units (cm) in your answer.
12,316,The face of a clock has a circumference of 63 in. What is the area of the face of the clock? Round your answer to the nearest whole number. Do not include units (in2) in your answer.
13,12.5,A cyclist rode 3.75 miles in 0.3 hours. How fast was she going in miles per hour? Do not include units (miles per hour) in your answer.
14,0.99,"Tyler orders a meal that costs $15. If the tax rate is 6.6%, how much will the sales tax be on Tyler's meal? Do not include units ($) in your answer."
15,300,"A bakery used 25% more butter this month than last month. If the bakery used 240 kilograms of butter last month, how much did it use this month? Round your answer to the nearest whole number. Do not include units (kilograms) in your answer."
16,1.4,"Last week, the price of oranges at the farmer's market was $1.75 per pound. This week, the price has decreased by 20%. What is the price of oranges this week? Round your answer to the nearest hundredths (second) decimal place. Do not include units ($ per pound) in your answer."
17,138,"A pair of designer sneakers was purchased for $120. Since they were purchased, their price has increased by 15%. What is the new price? Do not include units ($) in your answer."
18,307.5,"Elena's aunt bought her a $150 savings bond when she was born. When Elena is 20 years old, the bond will have earned 105% in interest. How much will the bond be worth when Elena is 20 years old? Do not include units ($) in your answer."
19,14.69,22% of 65 is 14.3. What is 22.6% of 65? Round your answer to the nearest hundredths (second) decimal place.
20,728,"A bakery used 30% more sugar this month than last month. If the bakery used 560 kilograms of sugar last month, how much did it use this month? Do not include units (kilograms) in your answer."
21,0.95,Find each amount: 3.8% of 25
22,10.8,"On Monday, the high was 60 degrees Fahrenheit. On Tuesday, the high was 18% more. How much did the high increase from Monday to Tuesday? Do not include units (degrees Fahrenheit) in your answer."
23,9802.9,"A car dealership pays $8,350 for a car. They mark up the price by 17.4% to get the retail price. What is the retail price of the car at this dealership? Round your answer to the nearest hundredths place. Do not include units ($) in your answer."
24,7785,"A college student takes out a $7,500 loan from a bank. What will the balance of the loan be after one year (assuming the student has not made any payments yet): If the bank charges 3.8% interest each year? Do not include units ($) in your answer. Round your answer to the nearest hundredth place."
25,58.5,"A music store marks up the instruments it sells by 30%. If the store bought a guitar for $45, what will be its store price? Round your answer to the hundredth place. Do not include units ($) in your answer."
26,"7,458","A watermelon weighs 8,475 grams. A scale measured the weight with an error of 12% under the actual weight. What was the measured weight? Do not include units (grams) in your answer."
